1000 50 50
4 52 8 16
89 94 9 25
74 13 16 16
43 50 9 16
87 15 10 4
81 22 12 16
67 63 11 0
61 86 19 9
64 91 12 4
88 44 17 16
70 56 6 4
84 5 15 16
31 17 13 4
23 48 4 16
17 62 11 1
30 32 9 1
97 37 10 4
42 27 12 4
41 84 4 16
98 38 13 1
50 67 15 9
12 34 9 1
6 66 15 16
80 62 10 4
78 25 14 9
31 70 14 9
80 79 11 9
64 35 6 9
43 71 11 4
54 79 14 9
76 42 14 9
99 72 12 16
79 65 12 16
68 24 10 9
96 19 10 16
72 26 8 1
96 58 12 9
31 91 11 16
3 36 7 16
15 13 6 25
67 13 1 16
57 90 8 4
65 39 5 16
34 6 6 4
90 61 8 16
63 84 11 4
97 23 10 1
95 65 6 4
56 13 15 1
46 2 11 16
56 3 11 0
8 52 10 4
53 63 8 0
85 96 9 1
12 11 14 4
30 86 10 0
18 84 12 4
45 18 8 0
50 39 7 16
9 24 9 1
60 89 7 1
2 68 15 9
81 73 5 4
73 96 3 4
29 15 7 16
19 61 13 1
58 43 4 25
42 48 6 25
79 41 11 1
8 67 14 4
64 87 3 4
26 84 13 16
69 50 9 1
49 27 14 4
14 70 15 4
25 73 13 9
93 27 16 16
70 66 2 16
6 62 8 16
19 90 14 16
64 53 13 1
89 8 10 1
98 6 12 4
5 74 9 9
22 1 10 0
5 88 14 1
11 98 13 16
67 78 13 0
63 40 13 1
45 14 15 16
22 14 15 1
41 30 11 25
46 35 6 1
16 98 15 0
10 83 13 25
15 59 6 4
64 16 12 4
5 58 12 4
76 26 9 9
40 20 16 1
20 37 7 4
81 78 14 1
53 41 19 16
92 10 5 16
25 30 13 16
12 11 8 1
98 28 19 16
7 46 8 4
76 43 3 25
22 19 11 9
95 77 6 4
44 64 7 16
82 6 10 4
78 9 17 9
7 47 7 25
48 1 6 1
54 100 12 9
95 36 10 1
24 91 12 1
44 43 8 4
12 15 10 9
32 6 7 16
10 59 12 4
26 2 9 0
82 30 11 1
17 7 17 9
16 6 7 16
36 17 22 16
52 96 6 1
96 14 7 1
29 3 5 16
52 69 14 4
70 39 5 4
10 100 13 1
9 11 8 0
17 82 7 9
35 7 9 9
2 19 15 4
50 81 7 4
71 64 17 16
99 4 20 25
62 90 9 16
72 60 15 4
14 5 5 4
47 35 9 1
50 74 17 25
30 60 12 1
88 84 10 16
96 32 8 9
23 93 10 9
91 23 10 0
76 14 11 1
8 13 15 16
30 52 15 4
73 91 16 25
77 40 13 9
23 74 13 4
24 59 12 9
18 4 12 1
26 57 16 16
97 56 6 0
45 18 10 1
66 56 10 4
59 49 11 16
12 66 22 16
40 47 5 16
89 83 8 9
80 69 11 25
5 72 8 9
90 66 4 16
20 18 8 9
8 11 20 9
79 60 6 9
78 91 11 25
87 56 11 25
3 23 10 1
18 75 8 16
89 81 8 1
83 82 6 4
53 47 12 16
24 12 11 0
79 45 15 16
34 93 14 4
51 5 9 25
69 8 2 9
3 99 13 1
94 91 13 9
70 8 4 1
7 69 11 1
55 27 14 4
28 9 6 4
98 1 7 16
94 88 7 9
9 79 15 16
97 27 3 16
82 48 13 16
2 63 4 16
39 98 7 4
37 39 8 1
15 91 4 25
19 9 12 0
85 17 14 4
50 58 8 4
45 67 12 0
75 93 9 16
82 7 6 16
82 49 10 9
52 19 13 4
53 90 11 1
66 43 10 16
56 41 14 4
94 67 8 25
43 22 12 4
98 30 14 1
3 70 8 4
62 61 8 16
63 93 25 25
4 8 1 25
45 65 2 4
70 36 9 16
53 57 8 4
33 11 16 25
82 40 14 9
72 50 15 1
31 69 1 9
100 89 20 9
88 93 18 9
47 97 11 4
98 88 11 9
33 11 3 25
71 97 9 4
84 26 9 1
62 47 15 9
37 72 6 0
69 94 14 4
77 98 12 9
28 37 17 9
30 57 12 16
1 84 21 16
55 42 11 16
96 41 14 4
65 39 12 0
96 30 5 9
95 3 12 9
37 59 3 1
76 77 13 4
18 46 6 9
37 43 13 1
46 89 2 4
94 50 6 0
77 34 12 9
73 82 6 4
75 10 7 0
69 77 3 16
19 13 4 16
82 5 16 1
35 89 4 16
68 20 14 16
84 80 9 4
44 6 7 4
56 69 6 1
31 28 6 0
46 14 10 1
12 9 17 25
87 27 9 0
61 13 0 16
41 44 9 1
8 24 4 1
25 2 8 9
77 63 2 16
44 97 12 9
31 41 16 16
87 91 8 9
84 31 14 1
47 33 6 1
95 17 7 1
12 88 14 4
39 39 10 4
39 41 15 0
76 39 10 9
37 45 11 25
44 52 15 0
55 63 4 16
84 33 14 16
91 61 7 16
29 73 11 4
41 78 3 25
56 82 7 9
39 46 13 9
47 86 3 9
65 48 17 9
33 99 21 16
71 55 9 1
41 38 11 1
32 83 15 0
93 69 10 1
46 61 3 16
86 96 11 1
61 36 20 16
82 91 11 4
77 11 12 1
36 62 10 25
60 20 18 9
16 100 19 9
97 34 7 25
51 13 0 16
19 11 2 16
90 92 6 1
76 57 6 1
21 45 12 25
5 30 12 4
62 29 16 25
15 94 14 4
58 56 7 9
78 25 12 4
67 10 5 16
98 28 8 9
19 59 1 25
26 50 9 4
73 56 10 25
89 50 12 1
14 57 13 4
82 74 5 25
15 6 9 9
97 16 4 16
21 96 15 4
83 56 4 4
90 30 12 9
79 75 15 25
39 77 8 1
71 25 10 9
31 88 13 4
99 65 7 9
36 95 10 16
74 2 10 16
20 96 12 1
53 48 11 9
20 79 11 1
38 57 1 9
53 64 15 4
56 85 3 4
56 36 18 16
20 79 11 9
15 54 13 4
79 7 15 4
16 83 9 9
31 84 12 25
96 84 10 4
85 14 2 25
48 86 14 9
6 71 2 25
12 54 8 0
90 30 12 4
8 31 19 25
11 19 4 16
20 62 12 4
89 9 8 16
55 85 6 16
55 49 15 9
44 17 11 9
18 49 5 4
52 88 9 4
37 18 12 0
5 54 14 0
49 31 11 0
71 7 11 0
42 50 11 0
75 12 9 0
71 69 6 9
90 29 4 16
90 85 13 16
50 93 14 0
2 9 1 9
23 39 6 9
32 42 2 9
22 99 9 4
86 20 5 25
61 38 7 1
60 43 9 16
71 4 20 16
28 38 11 9
68 97 11 4
42 73 11 1
26 19 9 1
32 56 9 16
45 19 5 16
84 57 11 4
6 41 5 9
78 60 17 4
36 17 10 9
68 94 15 1
62 27 7 0
50 5 13 9
76 22 6 0
10 50 22 25
2 88 7 0
2 34 14 1
34 3 10 16
3 19 14 9
10 32 9 9
62 3 3 25
38 83 6 4
35 62 6 9
78 71 11 0
64 44 12 1
58 82 9 4
41 86 11 1
51 73 7 0
35 58 9 9
100 24 8 16
67 74 9 0
32 25 6 1
17 37 11 16
90 36 14 4
35 60 13 4
63 78 8 1
37 24 6 4
95 90 13 16
25 44 9 9
90 3 11 25
15 19 9 16
33 99 8 16
50 67 12 4
28 60 14 4
5 84 6 0
86 33 9 1
30 24 5 16
50 13 1 16
97 19 8 9
53 44 2 16
21 1 16 25
95 53 11 16
25 60 10 4
48 85 10 0
46 42 13 1
9 19 10 4
27 67 8 0
26 2 21 16
82 62 12 4
69 43 9 9
18 81 7 9
6 67 12 1
