150 10 10
41 97 0 16
71 85 8 16
40 26 14 1
36 23 9 1
24 91 12 0
94 31 7 25
1 45 12 1
73 59 17 4
28 86 7 1
55 5 8 25
16 37 8 4
37 91 13 1
100 99 14 4
82 16 16 9
72 74 19 16
62 26 8 1
28 4 9 1
98 30 11 1
55 56 14 16
58 8 8 1
85 45 6 1
1 4 9 1
51 52 9 4
67 90 12 1
5 99 14 9
98 24 8 9
50 27 7 4
42 56 5 1
8 38 13 0
19 39 7 4
5 57 13 9
81 48 7 1
2 52 4 4
67 58 9 0
81 93 12 9
51 62 9 9
95 11 14 1
24 31 5 9
84 52 9 4
99 59 11 4
33 93 11 4
5 54 13 16
17 10 11 16
43 20 7 16
14 70 16 25
46 79 6 4
32 75 11 4
65 80 15 25
58 94 3 9
26 5 18 16
97 41 11 9
33 7 15 9
78 83 9 16
29 7 11 0
11 6 11 9
90 17 13 0
52 98 5 1
95 92 5 4
73 58 8 1
17 31 19 16
49 35 12 9
71 26 10 25
6 79 18 25
31 12 9 9
12 57 14 0
42 19 10 1
47 25 4 1
22 31 12 9
12 99 20 25
38 73 11 9
67 54 12 0
30 70 4 16
44 59 18 16
72 55 10 9
37 11 7 4
44 50 10 9
96 32 12 16
14 29 11 4
82 70 17 9
39 66 6 1
44 36 22 25
80 79 8 4
29 39 7 0
87 69 3 16
19 46 16 9
98 26 9 1
66 40 10 4
6 96 11 0
45 52 10 4
18 52 7 16
55 54 14 1
12 29 8 16
32 65 11 1
85 27 13 4
59 70 6 9
11 71 16 16
18 39 14 1
17 74 9 0
92 65 13 1
14 96 6 25
69 77 15 25
67 28 11 4
88 5 16 9
72 16 14 25
48 91 13 4
10 24 8 25
93 4 8 0
96 63 6 1
50 6 17 9
70 50 7 1
38 54 11 9
65 54 14 0
65 77 9 16
70 44 15 4
24 2 9 4
16 24 9 9
35 70 9 4
65 34 11 1
49 60 17 16
95 83 14 16
84 71 17 4
55 1 5 1
57 51 4 9
39 95 10 16
71 40 6 0
79 82 2 25
2 9 8 16
27 67 9 4
62 95 7 9
51 17 5 16
86 89 12 1
72 29 8 1
78 91 0 16
43 60 13 4
58 47 10 0
67 82 9 25
69 55 10 0
3 25 7 16
95 76 14 1
45 96 12 0
46 70 8 16
28 14 17 9
6 31 8 16
83 8 11 0
69 61 11 4
81 38 8 9
8 98 10 1
5 30 13 9
95 26 11 9
68 66 9 4
23 67 7649 826 0.116599229406565 500 2 1.2815515655446
10 82 4737 583 0.191962240615394 250 5 1.2815515655446
42 71 987 622 0.317860239283182 250 5 1.2815515655446
79 70 1015 803 0.233797349117231 250 6 1.2815515655446
39 32 7962 1479 0.463897570015397 250 4 1.2815515655446
34 94 4956 575 0.156013110259082 500 5 1.2815515655446
2 84 1014 909 0.223979062009603 100 4 1.2815515655446
81 97 4982 886 0.313296928685158 100 6 1.2815515655446
56 79 8017 1266 0.049122996435035 100 2 1.2815515655446
16 27 8212 586 0.218829340476077 250 6 1.2815515655446
5000 17 60
5000 14 55
1000 10 55
5000 13 60
1000 14 55
350 15 30
1000 19 40
5000 15 40
5000 17 45
1000 15 60
