150 10 10
76 90 10 4
58 50 4 16
22 56 7 0
93 44 8 0
58 60 14 1
58 16 10 0
44 66 7 1
37 8 15 0
47 33 12 9
35 88 5 16
10 92 12 16
84 22 8 25
62 91 13 4
85 71 16 16
9 61 7 4
80 31 6 1
14 77 19 9
14 12 12 4
22 20 1 16
34 78 6 16
36 81 7 16
83 91 13 4
32 21 10 1
20 85 8 9
31 64 13 16
3 44 9 9
51 82 19 9
40 73 11 16
29 23 18 9
15 24 12 9
83 91 7 25
49 63 12 0
82 36 12 25
38 75 7 16
10 95 13 9
3 66 7 16
97 40 9 4
98 98 8 1
89 70 1 16
34 62 15 9
93 6 15 1
41 34 13 1
8 52 15 4
36 5 2 25
8 59 10 25
44 53 7 9
72 29 11 1
89 76 13 1
23 86 12 1
87 7 14 4
31 67 12 0
63 23 11 9
66 95 14 1
37 45 11 4
39 18 8 1
16 88 14 4
37 74 7 4
14 44 13 9
92 30 14 25
33 46 7 0
62 29 13 9
10 60 8 25
74 46 11 9
12 73 18 16
28 93 15 4
69 29 8 9
46 40 14 1
18 78 11 9
86 88 9 1
84 94 10 1
83 22 13 16
33 21 11 1
36 13 6 16
42 18 6 4
59 5 7 9
63 17 7 0
41 34 8 25
80 15 10 4
39 94 3 25
34 26 19 16
90 81 15 4
68 47 9 4
44 24 12 1
47 26 8 9
64 42 6 16
20 54 13 0
35 22 7 0
28 48 10 9
89 25 4 4
93 45 7 4
77 28 8 9
84 22 5 9
9 84 16 16
24 48 6 4
41 30 13 9
93 8 6 1
65 40 7 0
55 20 12 0
78 47 11 25
22 69 5 1
74 48 7 0
37 10 14 0
80 65 9 9
12 89 11 1
26 6 3 4
91 41 6 16
80 68 8 0
21 80 11 4
28 50 7 1
62 56 18 16
72 37 9 9
63 56 5 4
84 39 9 16
27 58 5 0
27 90 11 9
14 45 6 0
15 47 10 16
23 94 10 9
75 100 8 4
84 52 6 1
87 96 14 9
42 13 10 16
93 4 5 25
72 84 7 1
48 9 12 1
89 100 6 25
61 67 3 16
60 26 10 16
96 82 15 1
72 9 10 16
13 37 9 1
44 89 14 9
16 89 10 4
87 89 13 16
61 81 9 1
98 79 4 4
88 68 5 9
55 45 15 16
41 73 7 1
59 83 15 9
93 97 12 0
80 78 6 25
49 7 11 1
11 70 14 1
17 52 5 4
65 28 13 9
94 46 14 1
67 62 19 16
93 65 15 1
81 11 4 9
15 44 8102 1484 0.39252903747838 250 2 1.2815515655446
31 77 994 1086 0.260029280669987 250 3 1.2815515655446
12 44 5314 765 0.441480986131355 500 6 1.2815515655446
42 27 4850 1060 0.494235484676901 250 3 1.2815515655446
59 4 997 1091 0.209788040523417 500 4 1.2815515655446
44 92 970 1435 0.484183031609282 500 2 1.2815515655446
58 55 4803 610 0.437432727012783 250 7 1.2815515655446
14 73 986 1204 0.0777552096731961 250 7 1.2815515655446
52 7 7919 867 0.320163395795971 250 6 1.2815515655446
68 23 979 683 0.10282914465759 500 1 1.2815515655446
350 17 25
5000 12 65
1000 12 60
350 14 70
1000 14 65
1000 20 50
5000 10 55
1000 11 55
350 11 60
350 19 50
