500 50 50
71 45 9 9
29 99 9 1
49 3 8 4
46 83 15 16
97 39 5 4
36 36 9 1
74 17 9 4
67 28 9 9
7 7 6 16
65 14 15 25
66 58 12 4
21 31 13 25
47 71 10 1
84 27 11 16
14 44 9 9
86 5 11 1
68 7 12 1
55 53 8 1
31 76 7 16
43 44 14 1
35 53 11 4
73 15 8 16
96 71 7 4
88 25 13 9
24 4 12 0
87 26 12 1
46 62 11 9
79 77 6 16
89 31 7 1
14 32 14 1
75 12 7 4
29 52 13 9
26 19 6 9
34 96 21 9
93 75 12 1
47 8 12 16
14 58 5 0
23 60 10 16
32 58 12 9
40 73 7 25
60 6 14 1
30 71 8 25
79 49 7 4
93 82 13 1
76 66 14 4
40 100 11 9
1 82 8 4
60 29 14 9
45 83 19 25
57 65 3 16
99 23 9 4
8 28 1 9
46 49 19 4
4 54 8 4
94 43 14 16
42 96 12 4
50 24 12 1
62 94 9 9
18 92 14 0
72 87 8 4
54 73 8 0
46 47 10 1
56 72 7 0
64 61 14 9
5 52 9 0
65 71 7 9
21 26 15 16
94 47 7 25
18 31 7 25
23 23 15 0
17 44 12 9
44 65 7 16
49 22 10 16
79 69 9 9
17 46 7 1
72 44 6 4
41 66 6 4
25 51 7 0
36 26 11 16
67 28 14 9
91 14 9 16
38 18 7 1
56 18 12 1
83 75 13 1
50 67 12 16
85 26 10 0
12 76 12 4
65 62 4 25
89 37 9 9
29 87 9 9
40 98 12 16
69 98 5 4
76 82 11 1
76 81 8 25
37 76 12 1
91 78 12 0
19 78 14 16
42 76 14 4
10 73 11 1
22 56 7 9
76 65 2 16
62 37 6 0
22 64 5 1
31 31 5 0
70 26 13 16
61 60 16 9
38 49 8 9
92 68 15 16
96 96 6 16
27 57 17 16
47 89 14 9
72 2 13 1
92 9 7 16
22 38 12 0
91 17 11 16
10 95 7 9
86 29 11 4
54 13 13 4
26 71 6 4
66 41 10 9
48 41 6 0
8 37 3 16
72 36 6 1
17 69 13 9
99 86 1 25
72 50 12 16
78 72 10 16
70 21 5 4
68 14 7 25
23 51 13 1
10 64 11 9
43 69 11 9
29 88 11 4
43 3 13 25
54 73 5 4
6 99 11 16
79 81 10 1
46 48 11 16
81 14 6 0
64 97 12 4
90 79 4 9
61 81 5 9
28 69 12 0
72 53 13 9
85 75 5 1
78 7 19 16
38 50 14 1
51 50 6 25
26 80 14 4
51 52 13 1
2 8 10 16
48 35 5 1
56 61 6 1
8 82 11 0
21 38 7 4
28 88 7 25
56 36 12 1
31 2 14 16
64 80 9 0
4 44 12 16
74 2 9 9
19 97 9 9
97 30 9 0
13 91 2 4
91 37 7 1
43 54 11 1
48 12 9 4
39 32 11 9
89 93 12 16
65 40 9 0
86 70 15 4
92 71 11 16
64 74 13 1
37 8 12 4
61 23 19 25
34 5 11 4
17 35 12 1
89 77 6 0
60 30 11 9
34 68 13 0
34 20 5 16
87 50 8 9
41 64 12 4
62 7 14 16
37 11 15 1
21 78 18 9
91 10 21 16
60 34 17 16
2 59 8 4
55 89 12 1
66 12 20 16
78 55 13 4
11 100 11 9
19 74 9 25
91 51 12 16
63 52 0 16
96 68 13 9
19 50 14 9
96 52 13 1
59 99 10 25
37 15 11 4
1 48 14 1
29 48 8 4
65 76 16 16
27 72 9 16
13 92 8 9
30 56 14 4
18 44 6 0
12 89 9 16
51 99 9 9
84 89 10 1
98 60 8 16
80 76 20 9
80 66 15 1
56 4 13 16
71 43 12 16
75 8 7 9
33 68 8 9
61 8 8 1
76 57 7 9
23 65 13 1
18 3 13 1
79 87 8 4
33 12 9 16
59 83 10 9
6 77 7 1
96 41 13 16
24 42 7 4
50 22 2 9
8 53 13 0
15 23 8 9
74 47 7 4
60 70 17 16
38 31 9 25
66 92 15 9
22 58 11 25
12 35 9 4
96 93 10 1
98 8 6 4
91 67 2 16
66 13 8 9
60 95 11 0
33 55 12 0
39 85 6 25
45 74 5 1
70 55 14 9
52 36 11 9
99 85 10 1
71 54 2 16
52 69 8 1
63 83 14 4
48 83 13 1
33 82 13 0
97 90 12 1
15 81 7 1
95 45 16 9
83 36 12 1
38 34 15 4
59 17 10 16
56 31 8 1
55 86 6 9
5 60 8 0
43 14 7 9
94 43 10 4
90 8 11 1
97 16 20 9
41 98 11 4
12 40 5 4
8 4 14 4
51 17 14 1
61 4 5 9
94 80 14 16
17 15 5 9
46 63 14 16
15 4 12 9
16 6 8 16
4 4 9 1
44 88 10 1
93 71 10 9
35 20 12 16
38 62 9 9
90 32 16 4
79 86 7 4
60 80 14 16
96 66 14 1
55 2 5 4
94 89 15 1
86 37 8 16
26 32 7 0
71 49 6 16
58 65 8 4
28 48 3 16
22 7 5 1
4 4 4 16
44 86 14 25
29 47 9 1
60 22 8 0
23 70 11 9
81 66 10 4
22 38 11 9
70 78 10 4
23 83 8 1
34 21 4 25
7 42 14 1
24 76 7 4
19 24 7 9
5 54 8 16
17 23 14 1
92 48 5 4
87 63 7 9
10 13 8 0
93 45 12 1
91 58 12 1
95 17 12 0
61 1 7 1
2 2 10 4
2 19 6 4
82 75 8 9
63 32 14 16
55 2 13 16
35 41 4 4
88 85 9 16
18 54 12 9
86 77 10 0
65 59 7 4
100 20 6 1
50 5 11 1
82 55 19 16
83 37 14 1
22 2 9 4
38 76 9 4
17 68 2 16
55 37 13 9
20 68 11 16
57 10 13 4
31 73 18 16
94 21 19 16
94 71 7 25
50 60 9 0
79 58 12 0
37 74 11 0
48 89 11 9
28 38 12 16
17 25 15 16
81 25 12 1
84 54 11 1
60 44 6 25
43 79 17 4
97 36 11 4
29 99 5 9
84 86 11 9
94 18 7 25
88 71 10 4
44 47 13 1
48 47 11 1
70 25 10 25
56 80 6 9
52 19 8 1
75 35 10 9
29 65 11 9
51 13 13 9
23 30 14 1
20 45 11 9
32 94 14 16
30 37 7 16
32 22 6 9
96 58 5 16
20 32 15 1
89 8 9 1
5 35 15 1
37 80 14 0
97 51 14 1
100 39 13 9
67 80 4 4
14 29 5 1
24 64 15 9
88 25 11 1
87 74 7 9
30 36 7 0
20 55 14 16
19 79 11 4
75 3 6 9
54 18 10 9
44 44 10 9
64 48 15 9
42 33 8 4
67 22 9 1
71 14 14 16
82 2 3 25
75 39 16 9
