200 30 30
59 37 11 1
68 49 14 1
5 7 3 25
16 17 7 4
6 45 10 4
69 12 4 16
3 87 14 4
5 22 6 1
12 78 12 9
52 79 11 4
58 60 6 9
9 55 5 1
41 30 0 16
90 96 5 9
79 27 1 25
70 70 10 1
94 20 19 16
62 67 10 25
37 11 7 0
76 7 14 0
100 6 9 9
86 54 9 9
50 37 16 4
99 3 13 1
97 8 11 4
39 53 11 16
80 36 5 9
53 64 7 1
55 47 25 25
72 98 11 16
65 63 16 9
43 53 12 0
88 94 8 4
17 21 18 16
44 100 13 1
12 97 1 9
86 36 10 1
44 89 10 1
21 20 9 4
68 88 6 0
86 22 12 16
2 89 5 25
96 68 13 4
51 18 12 9
46 90 11 25
91 27 13 4
97 36 6 1
45 41 9 16
2 75 13 9
16 30 7 1
87 88 7 1
52 76 10 4
79 89 4 9
49 77 8 1
69 25 6 4
79 57 12 16
80 32 12 4
59 52 10 0
33 23 12 9
44 96 8 16
44 83 6 4
26 15 11 4
87 29 5 1
83 9 8 0
31 85 10 1
69 31 5 9
23 90 12 0
77 8 11 1
67 90 9 4
43 22 7 16
72 62 9 16
78 7 16 16
46 63 7 1
24 78 9 4
3 99 17 9
59 32 12 1
33 57 11 9
24 3 9 9
75 31 11 9
8 48 4 4
7 4 6 1
33 44 10 9
8 65 8 16
82 23 7 1
17 11 15 4
40 32 7 1
89 25 11 0
25 10 14 4
94 24 13 9
98 63 9 9
64 34 13 0
8 92 10 0
12 70 14 16
9 91 15 25
59 7 3 16
67 23 13 4
96 44 8 4
61 28 10 25
70 12 6 16
55 62 13 16
49 80 11 9
4 3 8 4
65 59 8 0
96 19 15 25
69 98 6 4
97 85 5 1
35 55 5 1
98 3 13 4
19 22 9 9
83 94 4 1
21 26 8 1
4 78 7 1
6 71 7 4
2 61 7 1
82 43 8 0
25 69 10 4
10 14 4 1
15 78 6 25
45 30 5 25
15 32 15 16
83 70 10 16
50 53 2 4
33 41 16 9
21 24 15 25
47 91 9 25
60 65 16 16
30 69 1 16
81 25 13 0
65 50 9 9
49 93 7 1
20 69 6 0
4 19 10 9
3 67 11 4
21 27 15 9
50 15 9 9
26 33 10 16
74 4 14 25
81 90 6 9
99 46 12 16
44 54 4 16
79 42 7 9
70 56 7 0
7 19 15 1
80 42 8 16
44 27 7 16
92 7 8 25
69 79 15 9
22 2 15 16
42 99 18 9
9 17 11 25
84 17 5 25
20 98 12 4
42 75 6 0
57 73 13 4
52 44 13 4
27 74 10 16
53 43 15 4
86 38 7 16
39 91 11 16
98 99 14 0
51 73 3 9
61 37 13 4
65 37 14 9
43 82 5 4
52 37 4 4
96 8 8 1
3 8 12 0
24 61 3 9
2 29 9 16
13 94 12 1
99 5 13 0
33 9 8 16
2 1 2 16
24 45 14 1
43 55 13 9
55 20 10 4
73 92 15 1
72 13 9 9
73 6 7 16
44 45 7 9
47 4 8 1
83 16 16 16
88 12 7 4
54 8 12 1
94 8 13 0
12 75 8 9
14 80 12 4
75 19 13 4
47 66 6 16
85 2 11 9
61 86 10 25
79 35 12 16
35 51 18 4
70 21 9 9
68 80 3 25
72 35 16 16
67 9 6 0
73 89 14 9
70 33 11 1
64 80 12 16
74 51 4632 1613 0.0737384967133403 500 4 0.2533471031358
54 36 8107 1214 0.4443693580525 250 5 0.2533471031358
44 63 5118 1296 0.461734769374598 500 1 0.2533471031358
81 21 4842 1126 0.351214869234245 250 7 0.2533471031358
44 3 987 1371 0.169286806555465 500 6 0.2533471031358
3 94 991 1608 0.215379882112611 500 4 0.2533471031358
43 54 1028 1263 0.256803921544924 100 1 0.2533471031358
12 3 5226 1228 0.168270728744101 250 4 0.2533471031358
63 66 7838 1117 0.261898233322427 250 3 0.2533471031358
96 76 7803 844 0.128177268896252 100 3 0.2533471031358
50 77 5106 1132 0.272417708865833 250 5 0.2533471031358
58 91 5334 806 0.113406554406974 250 6 0.2533471031358
96 37 4949 1758 0.13705978292739 500 2 0.2533471031358
92 64 8314 975 0.453803307202179 100 5 0.2533471031358
87 18 8183 711 0.25359605924692 500 6 0.2533471031358
72 11 999 1200 0.299796107837465 500 3 0.2533471031358
72 83 5101 1356 0.121351827352773 500 3 0.2533471031358
60 54 5204 1492 0.115495304369833 250 3 0.2533471031358
6 88 8067 1023 0.267994301863946 100 7 0.2533471031358
40 75 7793 1519 0.392458752628881 100 7 0.2533471031358
49 50 4904 1884 0.0610120666748844 250 1 0.2533471031358
23 41 7393 876 0.319073862389196 500 2 0.2533471031358
40 3 4548 692 0.430715903241653 100 5 0.2533471031358
55 70 5191 790 0.0929040485527366 250 6 0.2533471031358
59 24 8036 1222 0.094060861193575 250 3 0.2533471031358
41 61 5000 733 0.490380655503832 500 3 0.2533471031358
39 19 8252 1607 0.193665380820166 100 5 0.2533471031358
59 67 5233 933 0.498711674120277 500 5 0.2533471031358
61 75 8225 1544 0.268076744868886 500 2 0.2533471031358
50 75 4822 768 0.270911566913128 250 2 0.2533471031358
5000 14 40
1000 13 60
5000 10 70
1000 20 50
350 14 30
350 18 40
5000 16 45
1000 19 30
5000 13 65
350 11 50
1000 15 45
1000 13 30
1000 17 45
5000 16 70
5000 10 50
1000 13 70
1000 13 70
5000 14 75
5000 11 55
5000 13 35
350 14 65
1000 10 75
350 14 70
350 13 40
5000 16 65
1000 12 65
350 18 65
1000 13 70
5000 17 55
5000 13 30
