200 30 30
48 75 9 16
7 95 17 9
30 44 10 1
54 59 13 1
19 76 7 0
78 4 7 1
8 58 4 1
12 96 15 4
34 61 9 4
7 95 4 4
36 71 12 4
3 36 11 9
50 86 7 1
18 55 14 4
76 27 7 9
56 1 10 25
98 39 13 1
25 64 8 4
66 29 13 9
77 87 7 9
39 64 10 16
55 89 10 16
87 41 9 1
6 32 8 16
12 76 12 0
42 47 10 9
80 46 15 16
78 95 8 16
62 79 7 9
13 75 8 1
97 50 4 1
49 66 10 9
23 73 10 1
97 63 17 16
1 95 13 4
66 31 23 16
28 65 8 4
39 30 14 0
97 81 6 0
42 97 12 1
98 55 6 16
75 35 14 4
69 6 3 9
29 2 8 1
35 23 7 1
30 86 6 4
8 94 10 16
75 34 2 9
19 14 10 4
16 56 14 1
57 30 6 9
2 18 15 1
84 85 9 9
73 40 11 1
21 32 7 9
52 34 16 9
37 22 12 4
16 30 5 0
34 77 10 16
1 74 8 1
86 91 10 4
47 72 7 0
20 55 7 4
72 98 5 25
27 99 14 16
56 52 11 9
12 71 14 1
71 8 10 4
94 4 5 4
74 29 5 16
39 89 13 4
15 48 0 16
75 28 10 1
38 36 14 0
14 5 12 25
13 23 7 25
33 27 12 4
14 9 10 9
38 28 14 0
93 56 14 1
49 40 4 16
2 5 18 16
67 94 7 25
96 82 14 16
91 67 13 9
90 31 11 1
31 77 17 16
88 46 11 9
33 79 9 16
42 50 11 1
3 32 9 16
93 92 5 9
98 18 2 16
83 29 10 4
52 10 11 4
46 20 10 0
75 72 12 0
87 9 17 25
71 29 7 0
72 67 13 16
14 35 5 9
31 88 11 1
55 4 6 0
7 98 5 16
52 95 13 1
51 72 6 0
85 20 5 16
82 41 12 0
55 24 8 9
98 63 12 4
33 11 17 16
37 22 12 4
45 46 12 16
34 22 14 1
79 89 15 0
90 45 11 1
67 21 8 0
16 39 11 16
3 88 9 4
86 94 8 1
90 23 6 4
61 97 9 4
61 26 12 16
44 12 8 0
90 12 12 1
72 92 5 16
57 13 11 16
59 67 7 9
14 56 12 9
88 95 13 4
19 13 9 9
26 32 14 25
88 2 7 16
59 9 13 9
62 61 8 1
9 3 8 4
68 69 6 25
50 99 14 4
97 94 10 16
30 60 20 9
66 83 10 9
95 18 9 16
13 73 10 4
80 47 10 1
14 34 15 9
6 55 19 25
65 25 8 25
50 4 11 9
47 39 11 9
21 4 14 1
65 71 13 1
95 73 7 16
62 66 8 9
3 80 7 1
69 32 11 16
96 64 14 4
50 25 14 9
16 3 17 9
72 57 2 25
10 68 10 16
40 63 13 1
95 6 8 9
67 48 9 16
89 90 3 25
65 42 11 9
18 70 14 9
15 28 5 4
35 70 11 4
68 45 15 0
4 85 4 1
30 11 12 1
68 42 11 0
17 5 9 1
69 29 5 1
74 37 9 9
9 70 14 1
49 72 5 1
3 16 10 1
21 100 11 1
74 35 12 16
13 71 13 9
40 74 15 9
97 41 5 25
21 74 7 9
53 29 5 25
93 2 18 16
91 60 10 1
79 23 10 4
32 44 12 1
74 47 8 9
65 71 11 0
5 70 13 1
87 82 11 0
76 81 13 4
28 73 6 25
71 54 8 25
68 54 14 16
74 51 7 9
73 81 15 16
68 62 11 4
61 35 982 1546 0.0359257227205671 500 5 0.524400512708041
97 83 5320 1125 0.0690223532076925 250 3 0.524400512708041
78 61 995 1047 0.260498790936544 100 1 0.524400512708041
58 27 4818 1016 0.412710265081842 500 2 0.524400512708041
100 89 4909 1464 0.0324191970587708 250 2 0.524400512708041
93 36 4771 1861 0.356741861053743 100 6 0.524400512708041
17 68 987 1794 0.32436444492545 250 1 0.524400512708041
68 34 962 1105 0.0769990568631329 250 2 0.524400512708041
17 95 8293 1030 0.342284828266129 250 4 0.524400512708041
76 39 8035 1142 0.198210916090757 500 4 0.524400512708041
14 66 7965 1808 0.421189363168087 500 3 0.524400512708041
21 12 1003 1489 0.270901906287763 500 2 0.524400512708041
87 72 8202 1257 0.343610303469468 100 1 0.524400512708041
16 64 1039 1806 0.243970159431919 500 6 0.524400512708041
84 7 7910 1085 0.447497738422826 250 2 0.524400512708041
86 12 4844 1771 0.336172141404822 250 4 0.524400512708041
83 9 8129 1803 0.430308624294121 500 5 0.524400512708041
72 10 7964 1581 0.47395666572731 100 1 0.524400512708041
99 71 8217 1458 0.488354009264149 500 4 0.524400512708041
43 12 1015 1887 0.255608127496671 100 4 0.524400512708041
52 54 7712 1285 0.4201936092088 500 5 0.524400512708041
29 38 5149 991 0.193529446155299 500 7 0.524400512708041
20 64 1023 1594 0.330435271374881 100 7 0.524400512708041
57 37 8604 1812 0.407930576654617 250 5 0.524400512708041
55 73 1000 1791 0.419994812796358 500 5 0.524400512708041
92 67 4657 763 0.449054116262123 500 3 0.524400512708041
40 74 7954 1599 0.248117476592306 100 2 0.524400512708041
27 40 8460 1693 0.151045695946086 100 1 0.524400512708041
27 52 7977 1089 0.11153960947413 500 6 0.524400512708041
88 47 987 948 0.359264453756623 250 7 0.524400512708041
1000 13 25
1000 15 65
1000 14 55
5000 20 65
5000 14 60
350 16 60
5000 12 65
1000 17 30
5000 16 55
1000 18 55
350 18 30
5000 15 45
350 13 55
350 20 65
5000 18 65
5000 18 70
1000 18 55
350 12 65
1000 12 75
5000 18 45
1000 19 70
5000 16 45
1000 15 40
1000 17 70
1000 13 35
350 12 40
1000 15 25
5000 18 75
5000 19 65
5000 18 30
