200 30 30
99 60 10 4
32 88 7 4
63 65 8 9
39 65 9 4
37 93 5 16
17 21 16 9
91 93 8 16
11 73 10 0
89 73 7 16
93 88 11 1
97 21 9 16
28 42 3 9
80 47 7 1
35 62 9 16
1 34 10 1
91 84 6 4
69 20 14 16
78 86 12 0
44 87 12 4
69 93 9 1
19 89 9 4
95 5 14 1
66 3 14 1
32 17 28 25
6 97 7 9
79 10 14 1
52 91 9 1
55 66 6 25
88 44 4 16
53 63 17 25
11 2 14 9
71 21 8 16
71 31 7 25
56 91 12 1
98 40 14 9
95 49 7 16
36 69 10 4
53 71 9 16
38 9 15 1
94 34 6 1
83 89 14 9
12 63 15 16
22 76 7 4
22 61 0 25
91 54 7 16
55 84 5 4
64 67 1 16
83 5 7 4
34 71 13 9
51 58 11 16
78 33 7 9
65 29 9 1
42 81 7 0
26 10 11 9
8 77 8 0
21 37 11 0
31 89 16 1
59 80 7 1
89 12 13 1
60 63 13 25
74 50 12 1
48 80 4 25
85 46 12 1
85 49 8 16
90 90 4 9
90 11 9 25
70 57 12 1
69 65 11 9
90 85 7 0
25 33 14 1
17 11 12 9
92 20 8 9
74 47 7 9
27 17 6 1
72 97 5 9
44 33 10 16
80 18 16 9
17 41 12 0
25 65 6 16
18 67 18 16
33 40 0 16
87 62 10 4
67 96 17 9
81 33 11 9
84 67 13 16
46 99 4 16
30 44 6 16
61 43 6 9
39 92 15 0
88 85 13 16
54 77 14 4
45 49 13 9
71 40 15 25
40 71 11 1
61 32 13 1
3 18 16 1
52 56 11 1
26 2 10 9
28 26 13 9
48 42 6 9
85 79 8 4
17 93 12 4
10 16 10 16
64 62 9 16
92 17 8 25
6 93 15 1
43 27 5 4
5 12 13 4
42 26 16 1
76 55 10 16
83 11 12 16
51 58 10 0
79 97 14 1
97 8 1 9
66 86 6 4
20 49 5 1
37 6 12 4
57 56 13 16
45 14 13 16
15 68 12 9
27 74 8 1
8 34 10 4
18 62 12 1
48 70 13 16
83 47 7 1
98 57 19 16
90 56 14 4
93 56 9 16
2 72 15 0
90 52 11 16
35 100 6 1
5 11 10 1
13 72 13 0
16 82 6 16
43 96 7 1
67 87 12 0
86 9 12 4
33 59 13 4
15 17 16 16
74 23 7 16
69 70 2 25
40 50 9 4
9 96 10 1
72 43 17 25
46 59 8 0
52 33 8 1
90 20 15 4
37 33 7 4
21 28 10 4
20 51 6 4
15 88 11 9
69 75 6 16
45 26 19 9
9 94 13 16
12 46 6 4
4 69 5 9
25 97 15 9
72 37 8 4
24 8 14 1
22 46 0 4
12 8 0 25
54 76 8 16
63 46 8 16
3 13 11 0
11 38 3 9
28 15 7 9
88 44 3 9
87 16 8 9
19 87 11 0
84 59 11 1
60 3 19 25
76 54 2 25
2 2 11 0
29 82 12 0
61 87 6 9
10 45 13 4
42 41 6 16
3 16 10 0
37 67 7 25
76 8 6 1
27 41 13 1
75 31 15 16
48 55 18 9
16 45 6 4
35 9 13 9
45 67 7 4
75 12 3 16
36 27 4 4
4 55 10 4
22 76 9 16
48 85 10 25
19 55 12 16
52 70 18 25
59 3 11 16
61 47 7 1
12 20 7 0
52 17 14 0
29 60 13 1
56 13 14 0
51 32 13 0
73 63 1008 800 0.206292081570718 100 6 1.2815515655446
79 93 1017 876 0.204442085984629 100 3 1.2815515655446
54 97 1000 1137 0.412100026442204 250 5 1.2815515655446
65 13 983 1049 0.40236228043912 100 1 1.2815515655446
92 10 4893 877 0.0898582512582652 100 7 1.2815515655446
90 21 5069 1343 0.192627383223735 100 4 1.2815515655446
79 8 8047 1600 0.181039063513745 100 7 1.2815515655446
93 6 5139 1418 0.289801361907739 500 2 1.2815515655446
65 75 992 1163 0.44029699327657 500 3 1.2815515655446
99 33 7858 1733 0.267580074414145 100 7 1.2815515655446
38 76 8046 1622 0.352037879861891 250 5 1.2815515655446
7 48 8290 1636 0.242995472138282 500 6 1.2815515655446
83 88 978 767 0.277040293863975 100 1 1.2815515655446
61 43 8135 1845 0.235666292577516 100 4 1.2815515655446
54 87 982 756 0.175099904600065 500 3 1.2815515655446
19 46 1006 1913 0.345869119330309 500 3 1.2815515655446
48 74 8328 1254 0.118854985483922 100 1 1.2815515655446
33 39 5035 757 0.220451200483367 250 4 1.2815515655446
76 51 5143 1671 0.409074880415574 100 7 1.2815515655446
25 43 5457 1731 0.0511741265235469 100 5 1.2815515655446
30 76 7847 1939 0.485944899062161 100 2 1.2815515655446
60 100 5310 840 0.283495384843554 250 4 1.2815515655446
98 90 5001 1368 0.274935969328508 500 7 1.2815515655446
38 93 5230 1536 0.443014433924109 100 4 1.2815515655446
28 94 8294 852 0.0419251275574788 100 1 1.2815515655446
38 50 968 1432 0.187833058261313 500 3 1.2815515655446
87 5 7808 1348 0.0608941083610989 100 5 1.2815515655446
26 66 4962 742 0.3065687876218 100 6 1.2815515655446
49 42 4902 824 0.367930806521326 500 6 1.2815515655446
25 74 4884 1459 0.431550190562848 250 1 1.2815515655446
1000 15 30
350 14 30
350 15 45
350 13 75
350 13 35
350 12 50
350 13 40
350 18 30
350 12 60
5000 18 45
1000 20 65
1000 20 70
5000 12 60
1000 20 30
1000 12 45
350 19 40
5000 17 40
5000 11 35
350 17 30
350 13 50
350 10 70
1000 11 25
5000 13 65
1000 13 60
1000 20 40
1000 13 65
350 16 50
5000 14 50
1000 11 50
350 14 70
