150 10 10
13 92 14 0
11 6 11 16
12 86 16 4
48 57 13 0
96 15 8 9
75 70 6 1
57 65 6 4
6 55 5 16
55 46 7 16
67 90 10 25
36 83 16 4
50 4 16 4
25 33 7 9
7 70 10 9
16 49 14 9
8 85 6 1
74 36 5 16
33 36 11 9
18 89 6 25
20 93 11 1
86 69 8 4
32 68 12 16
61 92 12 16
23 63 11 4
9 99 0 16
71 24 4 1
44 1 12 1
90 74 5 4
12 89 7 1
14 35 13 16
6 100 11 1
96 90 7 4
88 97 7 0
82 63 9 9
44 36 8 0
67 59 13 4
99 81 3 4
96 81 15 1
26 84 16 9
91 82 8 9
48 8 18 4
39 81 6 4
13 31 7 16
11 75 5 9
33 22 14 16
7 98 11 16
73 70 7 16
2 87 14 0
95 36 11 1
27 30 15 1
89 37 7 9
99 33 4 25
70 53 7 25
48 98 2 4
36 89 9 4
10 86 4 1
21 10 10 25
7 2 19 16
84 63 13 25
90 39 6 0
85 80 5 0
94 76 14 4
19 4 15 9
8 78 13 9
63 75 12 9
78 12 20 9
87 85 7 16
7 78 13 1
67 59 12 9
42 74 7 4
85 15 10 25
80 51 10 1
26 25 6 9
37 97 10 16
48 86 12 0
66 63 12 9
92 86 8 0
92 34 10 16
36 44 11 25
35 37 6 4
45 7 4 16
19 76 6 1
92 39 5 16
75 26 11 1
49 18 4 4
24 82 8 9
27 19 12 4
56 3 13 1
12 73 13 25
12 30 7 4
97 96 11 9
3 11 12 1
55 11 11 4
95 18 12 4
52 25 12 1
56 76 25 25
55 42 15 16
73 54 7 16
54 73 12 0
35 6 1 16
81 14 9 9
73 43 11 9
54 69 7 4
58 32 10 1
14 8 6 1
94 56 14 16
90 49 13 4
23 15 18 16
53 86 15 4
3 15 14 16
36 46 12 16
19 92 7 1
51 49 9 9
58 93 13 4
85 20 14 16
21 66 13 1
53 22 13 16
82 31 14 9
93 61 16 9
76 25 12 9
15 40 11 9
47 33 7 9
17 29 15 0
48 92 7 1
52 92 12 4
2 8 15 25
2 67 8 25
77 46 3 25
100 89 7 16
52 16 11 4
32 16 9 1
44 7 13 16
54 26 9 9
7 79 5 16
77 78 13 9
80 95 6 9
45 16 15 0
53 19 8 4
77 27 10 9
18 4 5 0
27 66 12 4
85 2 4 16
17 61 11 4
28 42 9 16
17 29 6 0
40 12 9 9
61 94 7 1
7 68 12 4
57 79 14 9
100 56 11 9
35 59 1004 1074 0.23704539721366 250 5 0.2533471031358
82 61 1018 1391 0.408029402047396 250 1 0.2533471031358
51 70 4981 958 0.276467076733243 100 6 0.2533471031358
10 64 8389 927 0.36357501229737 500 2 0.2533471031358
38 16 5194 739 0.444356257482432 500 6 0.2533471031358
85 96 1009 1061 0.138606750189792 250 4 0.2533471031358
92 39 8074 1345 0.435488359741867 500 3 0.2533471031358
18 42 1025 1282 0.263879103292711 500 3 0.2533471031358
52 10 7839 887 0.199352168384939 500 3 0.2533471031358
62 20 8203 737 0.350488587312866 250 4 0.2533471031358
350 20 25
5000 11 50
1000 14 65
1000 11 60
1000 16 60
1000 15 45
1000 18 65
350 20 65
350 15 55
1000 14 50
