300 50 50
68 34 9 9
13 42 17 9
89 52 14 1
12 82 16 4
25 51 10 0
38 31 6 1
4 48 14 0
15 62 8 1
24 51 4 25
31 37 14 9
55 8 6 0
49 69 12 1
37 13 15 25
42 49 13 4
40 80 10 0
65 65 5 4
35 1 7 16
60 16 14 25
9 36 16 25
72 51 8 25
92 71 8 1
17 68 10 9
3 45 17 16
38 83 11 0
49 30 20 25
18 2 14 9
70 24 8 0
98 13 13 1
95 7 11 16
20 41 15 16
84 19 8 0
11 82 13 16
61 32 7 0
80 67 6 4
7 89 4 1
43 23 10 0
88 69 14 9
46 73 11 4
89 65 10 9
63 67 11 9
28 67 2 16
72 60 8 1
100 50 8 16
34 59 12 1
53 24 10 1
66 54 13 1
79 22 15 9
31 63 8 9
55 63 9 9
70 15 12 4
13 94 14 4
40 51 13 1
5 5 10 16
42 29 13 9
49 35 14 0
86 74 4 25
9 72 9 9
87 90 15 0
30 90 13 1
30 68 4 25
27 27 8 4
71 80 8 1
58 88 5 4
42 53 13 4
68 50 9 4
28 29 10 4
73 80 8 16
57 5 14 9
99 59 5 25
91 52 10 9
49 64 8 4
56 21 8 25
88 47 14 4
62 13 10 16
36 26 11 1
43 54 11 9
21 13 14 0
59 37 4 1
55 91 8 9
45 77 6 9
20 44 7 4
87 52 8 1
24 84 13 9
54 14 8 9
78 78 10 16
52 88 10 0
90 93 11 16
42 7 12 4
13 84 12 1
89 80 10 4
50 2 2 16
43 68 8 4
71 28 7 1
3 87 18 9
85 12 9 25
11 40 7 4
58 92 10 1
57 34 12 25
23 82 15 25
44 68 11 9
12 89 12 4
75 84 17 25
69 9 14 0
57 46 9 1
14 92 11 25
18 61 7 9
13 94 6 0
38 44 11 4
51 76 11 16
32 33 14 4
92 14 5 0
47 23 15 0
56 14 9 1
7 29 7 1
89 99 2 25
16 41 9 9
10 74 6 1
16 24 11 16
48 83 11 1
82 13 15 9
2 86 13 9
5 27 9 1
92 61 11 0
14 92 5 16
8 51 4 1
20 70 18 16
43 54 10 0
44 96 11 0
37 25 3 16
53 67 11 0
28 46 16 4
79 36 13 4
20 6 4 25
50 23 6 16
83 41 4 16
68 11 9 9
21 22 11 1
40 38 7 1
31 86 5 16
48 9 10 9
46 33 10 16
22 63 17 4
27 73 7 4
29 71 11 1
33 79 8 4
8 10 10 25
18 17 7 16
13 90 8 9
34 77 6 9
79 90 14 9
32 95 8 1
31 80 11 9
23 28 21 16
47 67 13 1
67 78 12 4
97 39 11 1
24 72 12 4
20 7 10 0
34 25 10 4
10 46 5 16
25 27 11 1
5 70 16 16
18 8 14 16
91 98 11 1
29 33 14 9
56 72 11 4
72 88 12 4
56 38 9 4
19 58 15 4
99 38 8 16
18 3 10 9
31 56 10 1
38 17 13 0
34 66 14 1
76 61 10 1
50 66 14 16
60 10 10 0
37 34 18 25
68 82 17 16
98 79 9 4
51 14 13 0
22 62 11 4
37 11 16 9
70 73 6 1
29 92 11 9
28 66 8 4
83 64 12 1
60 47 7 1
76 90 12 0
44 89 0 16
85 94 9 1
36 1 8 16
14 95 7 4
75 28 12 16
73 68 10 1
14 5 6 4
78 56 8 9
44 97 11 9
33 90 12 1
79 9 4 16
30 49 14 0
51 29 11 4
67 76 2 16
69 40 12 9
7 91 9 4
7 75 3 25
25 55 12 1
31 96 14 16
21 93 12 9
8 20 5 16
92 21 19 16
55 59 8 1
82 14 8 9
30 44 10 9
20 85 12 16
56 53 8 16
43 30 2 16
58 33 11 16
91 12 17 16
64 7 11 16
12 97 12 9
78 10 18 9
99 59 9 25
67 5 13 16
19 74 5 0
96 18 8 9
85 72 9 9
6 72 6 1
60 69 10 4
69 99 12 1
80 70 6 4
88 79 12 1
84 80 15 25
59 11 9 4
19 24 8 1
8 78 20 16
30 95 3 16
44 41 13 1
88 79 9 4
88 2 1 9
7 67 8 9
36 100 11 4
26 42 8 1
41 31 12 4
36 75 13 1
5 14 5 9
35 53 12 25
68 75 14 16
69 98 2 16
30 84 7 1
71 87 7 4
17 37 13 4
74 47 10 4
18 63 6 1
78 67 11 4
97 85 13 0
58 52 12 4
40 90 10 1
55 84 7 9
81 93 6 1
83 64 11 9
77 21 10 4
42 82 10 25
50 48 13 4
74 68 8 16
69 68 20 25
49 29 4 9
32 23 13 1
99 96 15 16
86 50 5 16
78 25 14 9
71 73 10 4
47 75 12 9
25 10 15 4
16 53 3 9
23 88 15 4
14 3 7 9
11 40 8 16
49 64 9 4
74 50 12 1
18 74 15 9
23 86 12 1
28 38 12 1
76 67 6 1
92 84 15 0
88 85 4 25
32 88 8 9
76 73 4 25
70 77 15 16
23 84 8 1
35 71 15 16
8 83 3 9
48 76 2 25
46 75 15 1
51 53 8 1
92 85 9 1
21 80 8 1
19 65 7 16
17 73 11 4
28 36 4 4
24 49 7997 2344 0.495557186172809 500 6 0.524400512708041
31 28 997 1333 0.0786686330125667 250 7 0.524400512708041
89 81 8308 2744 0.118712216890417 250 5 0.524400512708041
82 25 5170 1286 0.370219045372214 250 2 0.524400512708041
39 84 4738 1044 0.332653535283171 500 2 0.524400512708041
55 80 4941 2690 0.084329100267496 500 7 0.524400512708041
49 54 5071 2480 0.257034161579795 100 1 0.524400512708041
46 55 8284 2750 0.150847082172986 250 6 0.524400512708041
39 52 7862 1830 0.392854699729942 100 4 0.524400512708041
24 6 4907 2008 0.0795023990073241 500 4 0.524400512708041
71 25 8071 1969 0.102043771194294 500 6 0.524400512708041
45 60 964 2164 0.0663738498836756 100 2 0.524400512708041
2 28 4957 1627 0.265568008024711 100 3 0.524400512708041
10 94 1020 1085 0.488922750691418 500 4 0.524400512708041
76 21 4810 1409 0.453231161176227 500 1 0.524400512708041
25 4 7676 2023 0.426969956443645 100 4 0.524400512708041
52 77 8171 3031 0.164669630483259 500 5 0.524400512708041
62 87 5350 2208 0.455350623000413 100 6 0.524400512708041
21 41 4959 1967 0.239461802921724 250 6 0.524400512708041
21 2 7190 1032 0.183854171452113 250 6 0.524400512708041
3 31 8830 2188 0.138224365564529 250 6 0.524400512708041
19 85 4908 2298 0.237421588844154 500 3 0.524400512708041
34 6 972 2917 0.363805893703829 250 4 0.524400512708041
19 85 983 2253 0.289398652883247 250 7 0.524400512708041
78 8 971 3002 0.230294166991953 500 2 0.524400512708041
27 28 7609 1451 0.154301610665862 500 7 0.524400512708041
48 87 5229 2305 0.481582134230994 500 1 0.524400512708041
